Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;7.968891048;27.58184349;3.461189684;143;61.94112492
2;7.997594018;22.13180665;2.767308094;116;48.97056246
3;7.751821216;27.61758116;3.562721635;134;61.45584369
4;6.855727174;24.57067476;3.583963325;109.5;51.01219261
5;7.773818424;28.88995864;3.716315081;144.5;64.04163015
6;8.26734134;25.82999541;3.124341229;140.5;56.384776
7;7.116205323;26.4249191;3.713344106;121;56.14213538
8;15.03623442;26.2052921;1.742809494;144;59.59797907
9;7.528212038;21.37946413;2.839912588;104.5;46.52691138
10;8.194942215;26.09491782;3.184271119;137.5;57.35533845
11;8.436363055;27.45836046;3.254762779;150;60.76955199
12;7.836844209;22.68882148;2.8951477;115;50.14213538
13;7.705420633;24.80730218;3.219461125;125.5;53.35533845
14;6.824307016;27.43488037;4.020170884;116;57.31370831
15;7.959880485;27.16870055;3.413204583;142;59.45584369
16;8.140802417;22.64626094;2.781821715;119;51.11269784
17;7.119415672;28.03855571;3.93832261;126;59.79898953
18;6.817113352;25.62470647;3.75887933;113;54.76955199
19;9.292483673;24.2989191;2.614900382;151;56.76955199
20;8.095674412;27.59992196;3.409218374;141.5;61.84061968
21;7.859176477;27.30464129;3.474236947;142.5;59.35533845
22;12.28538673;24.77654647;2.016749412;146.5;56.87005723
23;7.885498488;25.044811;3.176059324;124.5;56.04163015
24;8.078232891;28.78344644;3.56308698;152;62.62741661
25;7.219556046;26.83136843;3.71648454;124.5;56.72792184
26;8.927685143;27.03069236;3.02773809;158;59.79898953
27;8.055311594;21.2879858;2.642726548;113.5;46.87005723
28;12.66707799;30.06323485;2.373336209;154.5;65.6984843
29;8.257383715;21.17098147;2.563884906;112;48.97056246
30;8.786155444;23.79344376;2.70806087;140;52.76955199
32;7.931038879;29.35527101;3.701314727;153;62.42640615
33;6.982573089;26.08199797;3.735298956;117.5;56.04163015
34;7.902674714;25.79975014;3.264685828;135;57.11269784
35;8.481122015;24.30933485;2.866287598;138.5;53.35533845
36;8.183403015;24.94367371;3.048080813;133.5;55.6984843
37;15.02396964;29.0933152;1.93645993;163;65.59797907
38;8.524798449;27.28235371;3.200351758;155;59.59797907
39;6.96362327;27.04127353;3.883218904;121;59.11269784
40;6.899244934;27.27597741;3.953472833;120;57.31370831
43;7.254046561;28.50147939;3.929045554;132.5;60.384776
44;7.216946513;26.13687855;3.62159793;122.5;54.18376553
45;15.49103137;27.84231729;1.797318502;150.5;61.35533845
49;23.6136828;24.98070901;1.057891275;154;62.42640615
50;7.554021433;23.23388856;3.075697993;110.5;50.72792184
51;7.792709696;22.53210645;2.891434087;112.5;49.55634892
52;14.00559546;24.19115922;1.727249605;125.5;56.52691138
53;8.158127622;27.0609458;3.317053503;143;59.79898953
54;7.741379486;22.72447583;2.935455609;113.5;49.55634892
55;10.21697957;25.28094593;2.474405058;131.5;55.35533845
56;17.16143306;23.40697162;1.363928731;133.5;55.35533845
57;8.060414795;24.87300022;3.085821369;126.5;55.21320307
58;8.109011932;20.08746528;2.477177916;106;45.11269784
59;8.154139139;25.52183178;3.129923508;133;56.62741661
62;7.931380613;27.26111071;3.437120476;138.5;60.18376553
63;7.633052097;26.8442179;3.516839341;133;59.94112492
64;7.387446354;25.01419011;3.386040171;116.5;53.55634892
65;8.146551571;27.61581079;3.389877367;142;59.79898953
66;9.057077232;30.3654095;3.352672029;162.5;68.52691138
67;15.32636718;26.51058915;1.72973731;147;59.59797907
68;6.635491123;25.67855276;3.869879756;109;54.76955199
69;10.66082981;25.93426306;2.43266833;135.5;57.01219261
70;8.897556322;22.97057124;2.581671912;134;52.28427076
71;8.243982702;27.26917433;3.307767049;143.5;60.384776
72;7.476529028;27.19647996;3.637581003;132;58.42640615
73;8.161418733;22.60859553;2.770179581;119.5;51.21320307
74;7.879939569;23.21976736;2.946693582;119;51.94112492
75;8.172360692;26.99382593;3.303063454;144;59.11269784
76;7.380617168;24.6687268;3.342366396;118.5;52.18376553
77;13.7374186;28.74133501;2.092193289;142.5;62.52691138
78;7.874821261;29.9301516;3.800740436;149.5;65.6984843
79;7.987364097;24.59875666;3.079708945;128;55.94112492
80;8.492088201;30.16778693;3.552458031;170.5;63.84061968
82;8.171348247;26.24329282;3.211623349;136;56.97056246
83;13.77246769;23.04288818;1.673112525;125.5;52.52691138
84;8.066585173;28.23993786;3.50085411;151;61.59797907
85;8.068723113;22.36114728;2.771336551;116;52.28427076
86;8.18831712;28.04700533;3.425246594;141;60.97056246
87;6.881155172;23.22610979;3.375321324;100;50.28427076
88;9.332555782;27.06234396;2.89977843;146.5;59.21320307
89;7.657519365;25.04490322;3.27062878;123;54.14213538
90;8.476494755;27.53261442;3.24811319;145;62.28427076
91;9.190315201;25.03853916;2.724448358;137.5;55.35533845
92;8.057156128;29.71112623;3.687545054;154;65.11269784
93;8.494963027;24.7142091;2.909278006;137.5;55.21320307
94;8.232286391;31.49167491;3.825386219;175;66.91168737
95;7.841059395;23.74611815;3.028432378;119;52.97056246
96;7.826272568;23.56535267;3.011056984;120.5;52.04163015
97;8.42123951;30.30179742;3.598258592;165;65.79898953
98;8.184509691;27.68918506;3.38312081;148.5;59.55634892
99;7.355087129;25.65379831;3.487898629;121;56.28427076
100;7.752291496;27.90072507;3.599029408;137.5;61.35533845
101;7.618315712;26.29204131;3.45116195;131.5;55.84061968
;8.856885643;25.9633835;3.090744471;133.7934783;57.1367317
